Period (s),Global_c0,Alaska_c0,Aleutian_c0,Cascadia_c0,CAM_N_c0,CAM_S_c0,Japan_Pac_c0,Japan_Phi_c0,SA_N_c0,SA_S_c0,Taiwan_E_c0,Taiwan_W_c0,c1,b4,Global_a0,Alaska_a0,Cascadia_a0,CAM_a0,Japan_a0,SA_a0,Taiwan_a0,c4,c5,c6,V1 (m/s),V2 (m/s),Vref (m/s),Japan_s1,Taiwan_s1,Global_s2,Alaska_s2,Cascadia_s2,Japan_s2,SA_s2,Taiwan_s2,f4,f5,J_e1,J_e2,J_e3,C_e1,C_e2,C_e3
-1,8.097,9.283796298,8.374796298,7.728,7.046899908,7.046899908,8.772125851,7.579125851,8.528671414,8.679671414,7.559846279,7.559846279,-1.661,0.1,-3.95E-03,-4.04E-03,NA,-1.53E-03,-2.39E-03,-3.11E-04,-5.14E-03,1.336,-0.039,1.336,270,850,760,-0.738,-0.454,-0.601,-1.031,-0.671,-0.738,-0.681,-0.59,-0.31763,-0.0052,-0.137,0.137,0.091,0,0.115,0.068
0,4.082,4.458796298,3.652796298,3.856,2.875899908,2.875899908,5.373125851,4.309125851,5.064671414,5.198671414,3.032846279,3.032846279,-1.662,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.246,-0.021,1.128,270,1350,760,-0.586,-0.44,-0.498,-0.785,-0.572,-0.586,-0.333,-0.44,-0.44169,-0.0052,0,0,1,0,0,1
0.01,3.714,4.094796298,3.288796298,3.488,2.564899908,2.564899908,5.022125851,3.901125851,4.673671414,4.807671414,2.636846279,2.636846279,-1.587,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.246,-0.021,1.128,270,1300,760,-0.604,-0.44,-0.498,-0.803,-0.571,-0.604,-0.333,-0.44,-0.4859,-0.0052,0,0,1,0,0,1
0.02,3.762,4.132796298,3.338796298,3.536,2.636899908,2.636899908,5.066125851,3.935125851,4.694671414,4.827671414,2.698846279,2.698846279,-1.593,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.227,-0.021,1.128,270,1225,760,-0.593,-0.458,-0.478,-0.785,-0.575,-0.593,-0.345,-0.458,-0.4859,-0.00518,0,0,1,0,0,1
0.025,3.859,4.246796298,3.392796298,3.633,2.731899908,2.731899908,5.140125851,4.094125851,4.779671414,4.911671414,2.800846279,2.800846279,-1.607,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.221,-0.021,1.128,270,1200,760,-0.569,-0.454,-0.464,-0.745,-0.573,-0.579,-0.362,-0.459,-0.4859,-0.00515,0,0,1,0,0,1
0.03,4.014,4.386796298,3.535796298,3.788,2.890899908,2.890899908,5.317125851,4.278125851,4.935671414,5.066671414,2.926846279,2.926846279,-1.63,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.215,-0.021,1.128,270,1200,760,-0.539,-0.455,-0.446,-0.69,-0.565,-0.561,-0.38,-0.464,-0.4908,-0.00511,0,0,1,0,0,1
0.04,4.223,4.553796298,3.747796298,3.997,3.075899908,3.075899908,5.564125851,4.531125851,5.182671414,5.312671414,3.069846279,3.069846279,-1.657,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.207,-0.021,1.128,270,1200,760,-0.468,-0.453,-0.431,-0.636,-0.546,-0.508,-0.403,-0.466,-0.49569,-0.00505,0,0,1,0,0,1
0.05,4.456,4.745796298,3.959796298,4.23,3.287899908,3.287899908,5.843125851,4.816125851,5.457671414,5.586671414,3.236846279,3.236846279,-1.687,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.201,-0.021,1.128,270,1225,760,-0.403,-0.452,-0.42,-0.594,-0.519,-0.461,-0.427,-0.468,-0.49823,-0.00497,0,0,1,0.1,-0.1,-0.063
0.075,4.742,4.972796298,4.231796298,4.516,3.560899908,3.560899908,6.146125851,5.126125851,5.788671414,5.917671414,3.446846279,3.446846279,-1.715,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.19,-0.021,1.128,270,1350,760,-0.325,-0.456,-0.442,-0.586,-0.497,-0.452,-0.458,-0.473,-0.49724,-0.00489,0.05,-0.043,-0.025,0.3,-0.34,-0.2
0.1,4.952,5.160796298,4.471796298,4.726,3.788899908,3.788899908,6.346125851,5.333125851,5.998671414,6.126671414,3.643846279,3.643846279,-1.737,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.182,-0.021,1.128,270,1450,760,-0.264,-0.468,-0.485,-0.629,-0.486,-0.498,-0.49,-0.482,-0.49471,-0.00478,0.1,-0.085,-0.05,0.333,-0.377,-0.222
0.15,5.08,5.285796298,4.665796298,4.848,3.945899908,3.945899908,6.425125851,5.420125851,6.103671414,6.230671414,3.798846279,3.798846279,-1.745,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.171,-0.021,1.162,270,1500,760,-0.25,-0.484,-0.546,-0.729,-0.499,-0.568,-0.536,-0.499,-0.48583,-0.0046,0.164,-0.139,-0.082,0.29,-0.29,-0.193
0.2,5.035,5.277796298,4.661796298,4.798,3.943899908,3.943899908,6.288125851,5.289125851,6.013671414,6.140671414,3.827846279,3.827846279,-1.732,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.163,-0.021,1.163,270,1425,760,-0.288,-0.498,-0.612,-0.867,-0.533,-0.667,-0.584,-0.522,-0.47383,-0.00434,0.164,-0.139,-0.082,0.177,-0.192,-0.148
0.25,4.859,5.154796298,4.503796298,4.618,3.800899908,3.800899908,5.972125851,4.979125851,5.849671414,5.974671414,3.765846279,3.765846279,-1.696,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.156,-0.021,1.156,270,1350,760,-0.36,-0.511,-0.688,-1.011,-0.592,-0.781,-0.654,-0.555,-0.47696,-0.00402,0.08,-0.08,-0.053,0.1,-0.035,-0.054
0.3,4.583,4.910796298,4.276796298,4.34,3.491899908,3.491899908,5.582125851,4.592125851,5.603671414,5.728671414,3.602846279,3.602846279,-1.643,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.151,-0.021,1.151,270,1250,760,-0.455,-0.514,-0.748,-1.133,-0.681,-0.867,-0.725,-0.596,-0.4845,-0.0037,0,0,1,0,0,1
0.4,4.18,4.548796298,3.919796298,3.935,3.128899908,3.128899908,5.091125851,4.089125851,5.151671414,5.277671414,3.343846279,3.343846279,-1.58,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.143,-0.022,1.143,270,1150,760,-0.617,-0.51,-0.802,-1.238,-0.772,-0.947,-0.801,-0.643,-0.48105,-0.00342,-0.13,0.113,0.087,0,0.05,0.2
0.5,3.752,4.168796298,3.486796298,3.505,2.640899908,2.640899908,4.680125851,3.571125851,4.719671414,4.848671414,3.028846279,3.028846279,-1.519,0.1,-6.57E-03,-5.41E-03,NA,-3.87E-03,-8.62E-03,-3.97E-03,-7.87E-03,1.143,-0.023,1.143,270,1025,760,-0.757,-0.506,-0.845,-1.321,-0.838,-1.003,-0.863,-0.689,-0.46492,-0.00322,-0.2,0.176,0.118,0,0.1,0.2
0.75,3.085,3.510796298,2.710796298,2.837,1.987899908,1.987899908,3.906125851,2.844125851,3.995671414,4.129671414,2.499846279,2.499846279,-1.44,0.1,-6.35E-03,-4.78E-03,NA,-3.42E-03,-7.63E-03,-3.51E-03,-6.80E-03,1.217,-0.026,1.217,270,900,760,-0.966,-0.5,-0.911,-1.383,-0.922,-1.052,-0.942,-0.745,-0.43439,-0.00312,-0.401,0.284,0.167,0,0.2,0.125
1,2.644,3.067796298,2.238796298,2.396,1.553899908,1.553899908,3.481125851,2.371125851,3.512671414,3.653671414,2.140846279,2.140846279,-1.419,0.1,-5.80E-03,-4.15E-03,NA,-2.97E-03,-6.63E-03,-3.05E-03,-6.05E-03,1.27,-0.028,1.24,270,800,760,-0.986,-0.49,-0.926,-1.414,-0.932,-1.028,-0.96,-0.777,-0.38484,-0.0031,-0.488,0.346,0.203,0,0.245,0.153
1.5,2.046,2.513796298,1.451796298,1.799,0.990899908,0.990899908,2.870125851,1.779125851,2.875671414,3.023671414,1.645846279,1.645846279,-1.4,0.1,-5.05E-03,-3.42E-03,NA,-2.45E-03,-5.46E-03,-2.52E-03,-4.98E-03,1.344,-0.031,1.237,270,760,760,-0.966,-0.486,-0.888,-1.43,-0.814,-0.971,-0.942,-0.79,-0.31318,-0.0031,-0.578,0.48,0.24,0,0.32,0.2
2,1.556,2.061796298,0.906796298,1.31,0.534899908,0.534899908,2.507125851,1.293125851,2.327671414,2.481671414,1.217846279,1.217846279,-1.391,0.1,-4.29E-03,-2.90E-03,NA,-2.08E-03,-4.63E-03,-2.14E-03,-4.23E-03,1.396,-0.034,1.232,270,760,760,-0.901,-0.475,-0.808,-1.421,-0.725,-0.901,-0.891,-0.765,-0.25,-0.0031,-0.645,0.579,0.254,0,0.37,0.239
2.5,1.167,1.709796298,0.392796298,0.922,0.186899908,0.186899908,2.160125851,0.895125851,1.950671414,2.111671414,0.871846279,0.871846279,-1.394,0.1,-3.69E-03,-2.50E-03,NA,-1.79E-03,-3.99E-03,-1.84E-03,-3.64E-03,1.437,-0.036,1.227,270,760,760,-0.822,-0.453,-0.743,-1.391,-0.632,-0.822,-0.842,-0.724,-0.19,-0.0031,-0.678,0.609,0.267,0,0.4,0.264
3,0.92,1.456796298,0.099796298,0.675,-0.087100092,-0.087100092,1.969125851,0.607125851,1.766671414,1.932671414,0.596846279,0.596846279,-1.416,0.1,-3.21E-03,-2.17E-03,NA,-1.56E-03,-3.47E-03,-1.60E-03,-3.16E-03,1.47,-0.038,1.223,270,760,760,-0.751,-0.428,-0.669,-1.343,-0.57,-0.751,-0.787,-0.675,-0.14,-0.0031,-0.772,0.635,0.265,0,0.43,0.287
4,0.595,1.207796298,-0.356203702,0.352,-0.353100092,-0.353100092,1.675125851,0.303125851,1.524671414,1.698671414,0.268846279,0.268846279,-1.452,0.1,-2.44E-03,-1.65E-03,NA,-1.18E-03,-2.64E-03,-1.22E-03,-2.41E-03,1.523,-0.044,1.216,270,760,760,-0.68,-0.396,-0.585,-1.297,-0.489,-0.68,-0.706,-0.613,-0.07,-0.0031,-0.699,0.709,0.259,0,0.44,0.303
5,0.465,1.131796298,-0.601203702,0.223,-0.491100092,-0.491100092,1.601125851,0.183125851,1.483671414,1.665671414,0.014846279,0.014846279,-1.504,0.1,-1.60E-03,-1.25E-03,NA,-8.95E-04,-2.00E-03,-9.19E-04,-1.82E-03,1.564,-0.048,1.21,270,760,760,-0.592,-0.353,-0.506,-1.233,-0.421,-0.592,-0.621,-0.536,-0.03,-0.0031,-0.642,0.63,0.215,0,0.45,0.321
7.5,0.078,0.758796298,-1.137203702,-0.162,-0.837100092,-0.837100092,1.270125851,-0.143874149,1.175671414,1.366671414,-0.446153721,-0.446153721,-1.569,0.1,-7.66E-04,-5.19E-04,NA,-3.71E-04,-8.28E-04,-3.82E-04,-7.55E-04,1.638,-0.059,1.2,270,760,760,-0.494,-0.311,-0.418,-1.147,-0.357,-0.52,-0.52,-0.444,-0.005,-0.0031,-0.524,0.306,0.175,0,0.406,0.312
10,0.046,0.708796298,-1.290203702,-0.193,-0.864100092,-0.864100092,1.364125851,-0.195874149,1.271671414,1.462671414,-0.473153721,-0.473153721,-1.676,0.1,0.00E+00,0.00E+00,NA,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.69,-0.067,1.194,270,760,760,-0.395,-0.261,-0.321,-1.06,-0.302,-0.395,-0.42,-0.352,0,-0.0031,-0.327,0.182,0.121,0,0.345,0.265
